data,callsign,departure,arrivee,registration,Parking
20170806,CSN6579,ZBTJ,ZUCK,B9916,220
20170806,CSN6580,ZUCK,ZBTJ,B9916,218
20170806,CSN6580,ZBTJ,ZYTL,B9916,218
20170806,QDA9854,ZBLA,ZBTJ,B9956,111
20170806,QDA9854,ZBTJ,ZSQD,B9956,111
20170806,DKH1135,ZSPD,ZBTJ,B9957,110
20170806,DKH1135,ZBTJ,ZSPD,B9957,110
20170806,GCR6510,ZHHH,ZBTJ,B9983,213
20170806,GCR6509,ZBTJ,ZHHH,B9983,210
20170806,GCR7971,ZBTJ,RJCC,B9987,206
20170805,GCR7866,ZJHK,ZBTJ,B9987,211
20170806,GCR7881,ZBTJ,ZSPD,B9987,210
20170806,GCR7882,ZSPD,ZBTJ,B9987,213
20170806,GCR7972,RJCC,ZBTJ,B9987,213
20170806,CRK363,ZBTJ,VHHH,BLNE,101
20170805,CRK362,VHHH,ZBTJ,BLNE,105
20170806,CRK362,VHHH,ZBTJ,BLNI,
20170806,AMU237,ZBTJ,VMMC,BMAK,103
20170806,AMU238,VMMC,ZBTJ,BMAK,103
20170806,AMU237D,ZBTJ,VMMC,BMAN,101
20170806,AAR997,RKSI,ZBTJ,HL7507,103
20170806,AAR998,ZBTJ,RKSI,HL7507,102
20170806,KAL318,ZBTJ,RKSI,HL7605,101
20170806,KAL317,RKSI,ZBTJ,HL7605,105
20170806,KAL806,ZBTJ,RKSI,HL8208,101
20170806,KAL864,ZBTJ,RKSI,HL8247,101
20170806,KAL805,RKSI,ZBTJ,HL8247,105
20170806,KAL863,RKSI,ZBTJ,HL8247,104
20170806,AAR327,RKSI,ZBTJ,HL8279,103
20170806,AAR328,ZBTJ,RKSI,HL8279,101
20170806,VGO892,ZBTJ,VTSG,HSNGE,101
20170806,VGO891,VTSG,ZBTJ,HSNGE,103
20170806,NCT879,ZBTJ,VTBD,HSXBC,101
20170806,NCT880,VTBD,ZBTJ,HSXBC,105
20170806,JAL840,ZBTJ,RJGG,JA315J,102
20170806,JAL841,RJGG,ZBTJ,JA315J,104
20170806,ANA8413,RJAA,ZBTJ,JA8362,105
20170806,ANA8413,ZBTJ,ZYTL,JA8362,105
20170806,VJC5320,VVCR,ZBTJ,VNA642,103
20170806,VJC5321,ZBTJ,VVCR,VNA642,101
