data,callsign,departure,arrivee,registration,Parking,Parking0,Parking1,Parking2,Parking3,Parking4,Parking5,Parking6,Parking7,Parking8,Parking9,Parking10,Parking11
20170803,GCR7896,ZUCK,ZBTJ,B1849,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170803,GCR7993,ZBTJ,RKSI,B1849,210.0,210,210,210,210,210,210,210,210,210,210,210,210
20170803,GCR7994,RKSI,ZBTJ,B1849,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170803,GCR6509,ZBTJ,ZHHH,B1849,208.0,208,208,208,208,208,208,208,208,208,208,208,208
20170802,GCR7814,ZSJN,ZBTJ,B1850,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170803,GCR7825,ZBTJ,ZYTL,B1850,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,GCR7826,ZYTL,ZBTJ,B1850,214.0,214,214,214,214,214,214,214,214,214,214,214,214
20170803,GCR7865,ZBTJ,ZJHK,B1850,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,DKH1135,ZSPD,ZBTJ,B1857,,,,,,,,,,,,,
20170803,DKH1135,ZBTJ,ZYBS,B1857,,,,,,,,,,,,,
20170803,FZA6555,ZSFZ,ZBTJ,B1905,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,FZA6555,ZBTJ,ZYHB,B1905,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,CSZ9141,ZGGG,ZBTJ,B1940,201.0,201,201,201,201,201,201,201,201,201,201,201,201
20170803,CSZ9142,ZBTJ,ZGGG,B1940,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CXA868,ZSAM,ZBTJ,B1964,227.0,227,227,227,227,227,227,227,227,227,227,227,227
20170803,CXA8126,ZBTJ,ZSAM,B1964,225.0,225,225,225,225,225,225,225,225,225,225,225,225
20170803,CDG4801,ZSAM,ZBTJ,B1987,203.0,203,203,203,203,203,203,203,203,203,203,203,203
20170803,CDG8709,ZBTJ,ZLIC,B1987,203.0,203,203,203,203,203,203,203,203,203,203,203,203
20170803,CDG8710,ZLIC,ZBTJ,B1987,109.0,109,109,109,109,109,109,109,109,109,109,109,109
20170803,CDG4802,ZBTJ,ZSAM,B1987,109.0,109,109,109,109,109,109,109,109,109,109,109,109
20170803,CKK214,EKCH,ZBTJ,B2079,,,,,,,,,,,,,
20170803,CKK214,ZBTJ,ZSPD,B2079,,,,,,,,,,,,,
20170803,CYZ9101,ZBTJ,ZSNJ,B2135,,,,,,,,,,,,,
20170803,CSN8638,ZBTJ,ZYTL,B2297,217.0,217,217,217,217,217,217,217,217,217,217,217,217
20170803,YZR7480,EHAM,ZBTJ,B2437,,,,,,,,,,,,,
20170803,YZR7480,ZBTJ,ZSPD,B2437,,,,,,,,,,,,,
20170803,LHA4015,ZSNT,ZBTJ,B2572,,,,,,,,,,,,,
20170803,LHA4016,ZBTJ,ZSNT,B2572,,,,,,,,,,,,,
