data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,changing times,remote numbers
20190807,CXA8176,ZBTJ,ZSHC,82000,86100,83100,88440,B738,35.8,XiamenAirlines,16R,226,B5151,,
20190807,CCA8126,ZGHZ,ZBTJ,-14700,1000,-7740,2100,B737,35.8,AirChina,16R,109,B5211,,
20190807,CCA8363,ZBTJ,ZUMT,27300,39600,28380,37440,B738,35.8,AirChina,16R,109,B5211,,
20190807,CCA8133,ZBTJ,ZSWY,25200,32700,28500,36300,B737,35.8,AirChina,16R,118,B5213,,
20190807,CCA8134,ZSWY,ZBTJ,35400,43500,39660,46560,B737,35.8,AirChina,16R,203,B5213,,
20190807,CCA8125,ZBTJ,ZGHZ,54000,66000,56460,65760,B737,35.8,AirChina,16R,107,B5213,,
20190807,CCA8126,ZGHZ,ZBTJ,69000,80700,69420,78840,B737,35.8,AirChina,16R,108,B5213,,
20190807,CCA8364,ZUMT,ZBTJ,66000,75900,65700,74100,B738,35.8,AirChina,16L,107,B5227,,
20190806,CCA8356,ZSWZ,ZBTJ,-11100,-2400,-3240,3780,B737,35.8,AirChina,16R,118,B5229,,
20190806,CXA8552,ZSSS,ZBTJ,-13800,-5400,-4380,1560,B738,35.8,XiamenAirlines,16R,225,B5306,,
20190807,CXA8365,ZBTJ,ZGSZ,27000,38700,28200,38160,B738,35.8,XiamenAirlines,16R,227,B5306,,
20190807,CXA8366,ZGSZ,ZBTJ,42300,54000,42540,52380,B738,35.8,XiamenAirlines,16L,225,B5306,,
20190807,CXA8379,ZBTJ,ZGSZ,57000,69900,57660,67740,B738,35.8,XiamenAirlines,16R,225,B5306,,
20190807,CXA8380,ZGSZ,ZBTJ,74100,85200,74700,84300,B738,35.8,XiamenAirlines,16R,225,B5306,,
20190807,CHH7725,ZBTJ,ZYHB,48000,55800,54060,0,B738,35.8,HainanAirlines,16R,205,B5375,,
20190807,CHH7725,ZGHA,ZBTJ,36000,44400,42420,49200,B738,35.8,HainanAirlines,16L,214,B5375,,
20190807,CHH7726,ZYHB,ZBTJ,59400,67500,76500,82800,B738,35.8,HainanAirlines,16L,211,B5375,,
20190807,CXA8210,ZLLL,ZBTJ,58500,66600,58800,65640,B738,35.8,XiamenAirlines,16L,228,B5382,,
20190807,CXA8210,ZBTJ,ZYTL,70200,74700,70620,73380,B738,35.8,XiamenAirlines,16R,225,B5382,,
20190807,CCA750,VTBS,ZBTJ,11100,27900,15000,30420,B738,35.8,AirChina,16L,201,B5442,,
20190807,CCA1671,ZBTJ,ZGSZ,42000,54000,44640,54780,B738,35.8,AirChina,16R,107,B5442,,
20190807,CCA1672,ZGSZ,ZBTJ,57600,68700,60780,70500,B738,35.8,AirChina,16L,202,B5442,,
20190807,CCA1655,ZBTJ,ZSPD,72900,80100,75840,81900,B738,35.8,AirChina,16R,117,B5442,,
