data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,changing times,remote numbers
20170803,GCR7578,ZYCC,ZBTJ,61200,67200,61800,67200,A320,34.1,TianjinAirlines,16R,211,B8505,,
20170803,GCR7578,ZBTJ,ZWWW,71700,600,73560,87840,A320,34.1,TianjinAirlines,16R,209,B8505,,
20170802,CBG8853,ZGCD,ZBTJ,-48900,360,-4980,1860,A320,34.1,SPRAY,16R,110,B8511,,
20170803,CSC8863,ZUCK,ZBTJ,49800,58800,50280,57780,A321,34.1,SichuanAirlines,16R,111,B8605,,
20170803,CSC8863,ZBTJ,ZYCC,63000,68400,63180,68220,A321,34.1,SichuanAirlines,16R,111,B8605,,
20170803,CSC8864,ZYCC,ZBTJ,71400,77700,72840,78540,A321,34.1,SichuanAirlines,16R,112,B8605,,
20170803,UEA225Z,ZBTJ,ZUUU,66600,75600,76860,85740,A320,34.1,ChengduAirlines,16R,111,B8608,,
20170803,CES514V,ZYHB,ZBTJ,34200,37800,37860,46200,A321,34.1,ChinaEasternAirlines,16L,216,B8650,,
20170803,CES514V,ZBTJ,ZSSS,40500,46800,53160,59640,A321,34.1,ChinaEasternAirlines,16R,216,B8650,,
20170803,GCR7966,ZUCK,ZBTJ,71400,80400,74460,81780,A332,60.3,TianjinAirlines,16L,212,B8659,,
20170803,LKE9647,ZSSH,ZBTJ,38700,43800,41640,45900,A320,34.1,LUCKYAIR,16L,209, ,,
20170803,LKE9648,ZBTJ,ZSSH,47400,52800,56040,60540,A320,34.1,LUCKYAIR,16R,211,B8731,,
20170803,TBA9877,ZUUU,ZBTJ,22800,31500,24420,32220,A320,34.1,TIBET,16R,110,B8842,,
20170803,TBA9877,ZBTJ,ZYCC,35100,41400,38700,44100,A320,34.1,TIBET,16R,110,B8842,,
20170803,TBA9878,ZYCC,ZBTJ,67500,74100,72300,78000,A320,34.1,TIBET,16R,112,B8842,,
20170803,TBA9878,ZBTJ,ZUUU,77700,2100,83100,91980,A320,34.1,TIBET,16R,112,B8842,,
20170803,CBG8819,ZHYC,ZBTJ,56400,63600,67200,73200,A320,34.1,SPRAY,16L,112,B8851,,
20170803,CBG8820,ZBTJ,ZHYC,67800,75600,77280,83280,A320,34.1,SPRAY,16R,113,B8851,,
20170803,GCR7955,ZBTJ,UUEE,30300,61200,32640,60120,A332,60.3,TianjinAirlines,16R,414,B8959,,
20170803,CES5643,ZSSS,ZBTJ,41100,49200,41700,47580,A320,34.1,ChinaEasternAirlines,16R,219,B9901,,
20170803,CES5643,ZBTJ,ZBUL,55800,61800,54120,60180,A320,34.1,ChinaEasternAirlines,16R,218,B9901,,
20170803,CES5644,ZBUL,ZBTJ,65100,72000,65880,72300,A320,34.1,ChinaEasternAirlines,16L,215,B9901,,
20170803,CES5644,ZBTJ,ZSSS,76200,83400,82320,87720,A320,34.1,ChinaEasternAirlines,16R,218,B9901,,
20170803,CSN6580,ZUCK,ZBTJ,47700,56400,74880,82560,A320,34.1,ChinaSouthernAirlines,16L,221,B9911,,
20170803,CSN6569,ZYCC,ZBTJ,29100,35100,32640,38220,A320,34.1,ChinaSouthernAirlines,16R,221,B9953,,
20170803,CSN6569,ZBTJ,ZLXY,40700,45900,42300,47940,A320,34.1,ChinaSouthernAirlines,16R,217,B9953,,
20170803,QDA9853,ZSQD,ZBTJ,24600,29700,26040,30000,A320,34.1,SKYLEGEND,16R,113,B9956,,
20170803,QDA9853,ZBTJ,ZBLA,36000,45300,39660,47460,A320,34.1,SKYLEGEND,16R,113,B9956,,
20170803,QDA9854,ZBLA,ZBTJ,58200,67500,64380,71760,A320,34.1,SKYLEGEND,16L,113,B9956,,
20170803,QDA9854,ZBTJ,ZSQD,75000,79500,75840,78900,A320,34.1,SKYLEGEND,16R,113,B9956,,
20170803,GCR7989,ZBTJ,RJTT,72600,83100,74640,0,A320,34.1,TianjinAirlines,16R,210,B9983,,
20170803,GCR7990,RJTT,ZBTJ,1800,12080,12700,12900,A320,34.1,TianjinAirlines,16R,214,B9983,,
20170803,GCR7855,ZBTJ,ZPPP,30300,43500,31380,42300,A332,60.3,TianjinAirlines,16R,212,B9983,,
20170803,GCR7856,ZPPP,ZBTJ,48300,60000,48180,58440,A332,60.3,TianjinAirlines,16R,418,B9983,,
20170803,GCR7977,ZBTJ,RJBB,30900,39900,34560,0,A320,34.1,TianjinAirlines,16R,209,B9987,,
20170802,GCR7876,ZLXY,ZBTJ,-3000,6420,4500,9420,A320,34.1,TianjinAirlines,16R,211,B9987,,
20170803,GCR7978,RJBB,ZBTJ,44400,55200,48540,57000,A320,34.1,TianjinAirlines,16R,210,B9987,,
20170803,GCR7877,ZBTJ,ZLXN,60600,69900,61500,69660,A320,34.1,TianjinAirlines,16R,208,B9987,,
20170803,GCR7878,ZLXN,ZBTJ,72600,81300,76740,85260,A320,34.1,TianjinAirlines,16R,213,B9987,,
20170803,CRK363,ZBTJ,VHHH,26700,37800,27600,0,A333,60.3,HongKongAirlines,16R,101,BLNT,,
20170803,CRK3578,VHHH,ZBTJ,40200,50700,41040,50760,A320,34.1,HongKongAirlines,16L,103,BLPQ,,
20170803,CRK3579,ZBTJ,VHHH,54600,65700,67140,78000,A320,34.1,HongKongAirlines,16R,101,BLPQ,,
20170803,AMU238,VMMC,ZBTJ,29400,40500,30780,40020,A320,34.1,AirMacau,16L,103,BMAK,,
20170803,AMU237,ZBTJ,VMMC,44100,55200,55020,0,A319,34.09,AirMacau,16R,101,BMAN,,
20170803,AAR997,RKSI,ZBTJ,34200,41400,39120,44040,B763,47.57,AsianaAirways,16L,104,HL7507,,
20170803,AAR998,ZBTJ,RKSI,56400,63000,56340,61140,B763,47.57,AsianaAirways,16R,101,HL7507,,
20170803,KAL805,RKSI,ZBTJ,29700,36600,31500,36240,B772,60.9,KoreanAirLines,16R,105,HL7574,,
20170803,KAL806,ZBTJ,RKSI,40800,47400,42120,0,B772,60.9,KoreanAirLines,16R,101,HL7721,,
20170803,KAL318,ZBTJ,RKSI,57600,63600,57540,0,B77L,64.8,KoreanAirLines,16R,102,HL8046,,
20170803,KAL317,RKSI,ZBTJ,37800,44400,39900,45300,B77L,64.8,KoreanAirLines,16L,105,HL8046,,
20170803,AAR327,RKSI,ZBTJ,26700,33000,27060,32340,A321,34.1,AsianaAirways,16R,103,HL8059,,
20170803,KAL864,ZBTJ,RKSI,52800,59400,55920,0,B739,34.3,KoreanAirLines,16R,102,HL8242,,
20170803,KAL863,RKSI,ZBTJ,41700,48300,46740,51480,B739,34.3,KoreanAirLines,16L,103,HL8242,,
20170803,AAR328,ZBTJ,RKSI,36900,43200,41340,46680,A321,34.1,AsianaAirways,16R,101,HL8266,,
20170803,VGO865,VTSG,ZBTJ,23700,46500,26880,45540,B738,35.8,NewEraofThaiAirways,16L,105,HSNGK,,
20170803,VGO866,ZBTJ,VTSG,50100,68700,61680,79800,B738,35.8,NewEraofThaiAirways,16R,105,HSNGK,,
20170803,NCT879,ZBTJ,VTBD,65700,82800,76320,0,B772,60.9,NokScoot,16R,102,HSXBB,,
20170803,NCT880,VTBD,ZBTJ,44400,61200,44940,59700,B772,60.9,NokScoot,16R,105,HSXBB,,
20170803,JAL840,ZBTJ,RJGG,50400,62400,52740,0,B738,35.8,JapanAirlines,16R,101,JA304J,,
20170803,JAL841,RJGG,ZBTJ,35100,46200,39480,48360,B738,35.8,JapanAirlines,16R,103,JA304J,,
20170803,ANA8494,ZBTJ,RJBB,52500,62100,53400,0,B763,47.57,AllNipponAirways,16R,101,JA8664,,
20170803,ANA8503,RJAA,ZBTJ,33600,47100,39060,49080,B763,47.57,AllNipponAirways,16R,104,JA8664,,
20170803,N779LG,WIHH,ZBTJ,36000,58200,36720,62760,CL60,19.61,DeerJet,16R,897,N779LG,,
20170803,HVN500,VVCR,ZBTJ,55200,72600,56700,71520,A321,34.1,VientnamAirlines,16L,103,VNA357,,
20170803,HVN501,ZBTJ,VVCR,76800,8400,83340,97560,A321,34.1,VientnamAirlines,16R,101,VNA357,,
20170803,VJC5320,VVCR,ZBTJ,44700,60900,45540,60840,A321,34.1,VietJet,16R,103,VNA642,,
20170803,VJC5321,ZBTJ,VVCR,65100,81600,76080,90480,A321,34.1,VietJet,16R,101,VNA642,,
