data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
20170803,TGW187,ZBTJ,WSSS,33600,55200,37200,0,B788,60,SCOOTER,16R,101,9VOJD
20170803,TGW188,WSSS,ZBTJ,5400,27000,6900,26400,B788,60,SCOOTER,16L,102,9VOJD
20170803,AIB000V,ZBTJ,ZBOW,36000,48600,35880,42960,A320,34.1,Joyair,16R,501,B000V
20170802,CCA8282,ZHCC,ZBTJ,-78000,10840,8820,12840,B738,35.8,AirChina,16L,107,B1418
20170803,CCA1427,ZBTJ,ZUUU,27000,37800,29820,38580,B738,35.8,AirChina,16R,107,B1418
20170803,CCA1428,ZUUU,ZBTJ,42600,51900,44880,52680,B738,35.8,AirChina,16L,108,B1418
20170803,CCA1241,ZBTJ,ZLXN,55500,64500,56760,65220,B738,35.8,AirChina,16R,108,B1418
20170803,CCA1242,ZLXN,ZBTJ,71100,79800,68940,76020,B738,35.8,AirChina,16L,109,B1418
20170803,CXA8229,ZSHC,ZBTJ,27300,34800,29580,35400,B738,35.8,XiamenAirlines,16L,226,B1550
20170803,CXA8229,ZBTJ,ZWWW,38400,53700,41520,56400,B738,35.8,XiamenAirlines,16R,226,B1550
20170803,GCR7981,ZBTJ,RJCH,31200,42600,32460,0,A320,34.1,TianjinAirlines,16R,413,B1618
20170803,GCR7982,RJCH,ZBTJ,46500,60000,47400,59220,A320,34.1,TianjinAirlines,16L,414,B1618
20170803,GCR7895,ZBTJ,ZUCK,64800,74700,71100,78840,A320,34.1,TianjinAirlines,16R,414,B1618
20170803,CSC8815,ZSHC,ZBTJ,25200,32700,26280,31920,A320,34.1,SichuanAirlines,16L,112,B1820
20170803,CSC8815,ZBTJ,ZYCC,36200,42900,40320,45780,A320,34.1,SichuanAirlines,16R,112,B1820
20170803,CSC8816,ZYCC,ZBTJ,45900,52200,49560,54960,A320,34.1,SichuanAirlines,16L,113,B1820
20170803,CSC8816,ZBTJ,ZSHC,56300,63600,68940,74640,A320,34.1,SichuanAirlines,16R,113,B1820
20170803,CGZ7137,ZUTR,ZBTJ,55800,65700,60300,68280,E190,28.72,COLORFUL,16L,115,B3115
20170803,CGZ7138,ZBTJ,ZUTR,74100,83700,70720,83340,E190,28.72,COLORFUL,16R,115,B3115
20170803,HXA2843,ZBLL,ZBTJ,67200,71400,71100,75000,CRJ9,23.2,Chinaexpressair,16L,609,B3378
20170803,HXA2844,ZBTJ,ZBLL,74700,79200,76780,82440,CRJ9,23.2,Chinaexpressair,16R,609,B3378
20170803,CCA1679,ZBTJ,ZUCK,28500,38400,30780,39540,B738,35.8,AirChina,16R,203,B5227
20170803,CCA1680,ZUCK,ZBTJ,42000,51600,43500,50940,B738,35.8,AirChina,16L,108,B5227
20170803,CCA1527,ZBTJ,ZSSS,59400,66900,70620,76560,B737,35.8,AirChina,16R,108,B5227
20170803,CCA1528,ZSSS,ZBTJ,70800,78900,80100,85980,B737,35.8,AirChina,16L,212,B5227
20170802,CSC8861,ZUUU,ZBTJ,-21600,3600,-2940,0,A320,34.1,SichuanAirlines,16L,110,B6771
20170803,CSC8350,ZBTJ,ZGNN,44700,55800,62460,73080,A320,34.1,SichuanAirlines,16L,113,B6771
20170803,CHH7726,ZYHB,ZBTJ,59100,66600,76800,82680,B738,35.8,HainanAirlines,16L,415L,B7399
20170803,CHH7726,ZBTJ,ZGHA,70200,79200,86040,92640,B738,35.8,HainanAirlines,16R,415L,B7399
20170803,TBA9877,ZBTJ,ZUUU,22800,31500,24420,32220,A320,34.1,TIBET,16L,116,B8842
20170803,TBA9877,ZYCC,ZBTJ,35100,41400,38700,44100,A320,34.1,TIBET,16R,116,B8842
20170803,TBA9878,ZBTJ,ZYCC,67500,74100,72300,78000,A320,34.1,TIBET,16L,111,B8842
20170803,TBA9878,ZUUU,ZBTJ,77700,2100,83100,91980,A320,34.1,TIBET,16R,112,B8842
20170803,GCR7977,ZBTJ,RJBB,30900,39900,34560,0,A320,34.1,TianjinAirlines,16R,410,B9987
20170802,GCR7876,ZLXY,ZBTJ,-3000,6420,4500,9420,A320,34.1,TianjinAirlines,16L,413,B9987
20170803,GCR7978,RJBB,ZBTJ,44400,55200,48540,57000,A320,34.1,TianjinAirlines,16L,418,B9987
20170803,GCR7877,ZBTJ,ZLXN,60600,69900,61500,69660,A320,34.1,TianjinAirlines,16R,418,B9987
20170803,GCR7878,ZLXN,ZBTJ,72600,81300,76740,85260,A320,34.1,TianjinAirlines,16L,419,B9987
